video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7241383796518472966,2023-06-06T01:47:34,14,CO,5185,8985,164,278300,"Etiqueta a tu amiga que TIENE QUE probar esta máscara de pestañas 😱🖤 NUEVA Magnetic Lash: Pestañas más largas, rizadas y con más volumen a un suuuuuper precio!🤩  Encuéntrala en cyzone.com o a través de tu consultora favorita por tan solo:  🇵🇪 S/ 25.90 🇨🇴 $22,950 🇲🇽 $99.90 🇨🇱 $5,290 #pestañas #pestañaslargas #pestañasperfectas #mascaraviral #maquillajedeojos #mascaradepestañas #pestañina #rimel #mascara *Precios referenciales de oferta en catálogo de campaña 10-2023 en cada país.",False,"ESTA;CETCO S.A. - RUC: 20100123763 ;MÁSCARA;DE PESTAÑAS;TE VA;A CAMBIAR;LA VIDA;Nueva 💫;NSOC56436-22PE;MAGNETIC LASH 💖;de Cyzone ✨;Tecnología Smart Magnet 🧲✨;Con pigmentos cargados magnéticamente. Efecto visual de alargamiento, rizado y volumen.;WOW! 😱;TODO lo que necesitas 😍;✅ Largo;✅ Volumen;✅ Rizado;Mejor calidad 👌🏼;Precio BUENÍSIMO 🤩;Consíguela:;💁‍♀️ Consultora favorita;🛒 Cyzone.com;Nueva máscara de pestañas Magnetic Lash 😍✨",cyzone_oficial,Cyzone,2100000,79,30600000,1913,5639,True,,,
7517373466991938824,2025-06-18T19:28:31,17,MX,69,35,2,6796,Mi relacion mas larga es con este rímel. Tengo AÑOS usándolo y por más que traté de cambiarlo siempre regreso a él 🤣 es a prueba de agua ☔️ y me encanta el volumen que da @Cyzone #mascaradepestañas #cyzone #rimelnegro ,False,,fedezkari,kari𝟕𝟕𝟕 ⋆,8325,222,1300000,442,274,False,,,
7362761102255475974,2024-04-28T03:53:31,167,MX,2593,269,42,83400,"Máscara de pestañas viral👀 y veo porque, aunqueee tiene su chiste como usarla y entiendo también porque hay a quienes no les gusta, además de que es muy difícil de quitar, pero eso si, alarga mucho las #pestañas 👁️ y deja un tono negro oscuro🖤 me encantó🫰🏻 #magneticlashes #magneticeyelashes #mascaradepestañas #studiolookcyzone #cyzone @Cyzone ",False,,zzzairars,zzzaira🧘🏻‍♀️,58700,338,2000000,931,13500,False,,,
7352329827401174278,2024-03-31T01:14:49,15,CO,4598,1222,87,188200,"¿PASARÁ LA PRUEBA 👀? Una mirada magnética por 24 horas con Magnetic Lash de Cyzone ✨🖤 más largo, volumen y rizado a un precio increíble 🤩 #cyzone #studiolook #studiolookcyzone #magneticlash #magneticlashcyzone #mascaraviral #mascaradepestañas #pestañina #apruebadeagua #apa #mascarahacks #mascarareview #probandoproductos #probandomaquillaje #mascaragamechanger ",False,Probemos si la Magnetic Lash es a prueba de agua 💦;Primero aplicamos la máscara y multiplicamos nuestras pestañas ✨;Ahora la prueba definitiva: echamos agua 💦;Tomamos un papel limpio y secamos 👀;Ni un solo rastro de producto 🤩;Una mirada magnética por 24 horas y a prueba de agua 🖤;Magnetic Lash: a prueba de agua por 24H 💦🖤,cyzone_oficial,Cyzone,2100000,79,30600000,1913,5639,True,,,
