video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7567157685590822165,2025-10-30T23:16:47,9,PE,200,278,4,12600,Jabones Tododia Edición Especial de Navidad Incluyen 5 jabones en barra surtidos: - 2 frutas rojas - 2 ciruela y flor de vainilla - 1 mora roja y jabuticaba #jabones #tododianatura #regaloespecial #navidad #naturaperu ,False,"Jabones Tododía;Celebra la vida
🎁🎄🥰;Con frases especiales 
para regalar 🎁;✨y con tus 
fragancias favoritas✨;2 Frutas Rojas
2 ciruela y flor de vainilla
1 mora roja y jabuticaba
;Jabones Tododia
Celebra la vida",decelia.consultora,DeCelia,7388,425,105100,488,920,False,,,
7580221759799053575,2025-12-05T04:11:59,27,PE,29,69,0,1803,"Parte 91 | 🌸 Jabón Tododia ""Celebra la vida"" 🌸 • Deja tu piel limpia  • Radiante  • Delicadamente perfumada • Excelente opción para regalar  • Ayuda a mantener la hidratación natural de la piel. • Textura cremosa que genera una abundante y deliciosa espuma perfumada. Realizamos envíos a nivel nacional 🏍🚚(Lunes a Sábado) Para mayor información 📲 952 296 824 #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #nature #vida #navidad #merrychristmas ",False,,eydestilonatural,E&D Estilo Natural,22300,36,12100,106,2209,False,,,
